"","solution_run.001_s.0001_gap.0.05_flp.FALSE","solution_run.002_s.1001_gap.0.05_flp.FALSE","solution_run.003_s.0101_gap.0.05_flp.FALSE","solution_run.004_s.1101_gap.0.05_flp.FALSE","solution_run.005_s.0011_gap.0.05_flp.FALSE","solution_run.006_s.1011_gap.0.05_flp.FALSE","solution_run.007_s.0111_gap.0.05_flp.FALSE","solution_run.008_s.1111_gap.0.05_flp.FALSE","solution_run.009_s.0001_gap.0.05_flp.TRUE","solution_run.010_s.1001_gap.0.05_flp.TRUE","solution_run.011_s.0101_gap.0.05_flp.TRUE","solution_run.012_s.1101_gap.0.05_flp.TRUE","solution_run.013_s.0011_gap.0.05_flp.TRUE","solution_run.014_s.1011_gap.0.05_flp.TRUE","solution_run.015_s.0111_gap.0.05_flp.TRUE","solution_run.016_s.1111_gap.0.05_flp.TRUE","sum_no_flip"
"perc_tot",27.61,27.85,28.89,28.86,27.9,27.86,28.02,28.2,27.61,27.61,28.87,28.1,27.62,27.62,28.86,28.1,225.2
"perc_increse",16.35,16.59,17.63,17.6,16.64,16.6,16.76,16.94,16.35,16.35,17.61,16.84,16.36,16.36,17.6,16.84,213.94
