"scenario","mean","min","max","low","high"
"S",1.19836654042386,0.00259067357512953,8.38461538461539,0.517673531655225,2.62169230769231
"L",1.12781430854113,0.291666666666667,4.38461538461539,0.749398520084567,1.49949494949495
"C",1.04273686453491,0.111111111111111,3.10227272727273,0.843729837898139,1.47414965986394
"SL",1.12748609182915,0.208333333333333,4.38461538461539,0.745391825229035,1.53050505050505
"LS",1.12904858671229,0.291666666666667,4.38461538461539,0.749680408738548,1.53084745762712
"SC",1.18163043694466,0.00259067357512953,7.92307692307692,0.541357742181541,2.637092760181
"CS",1.04274279047828,0.111111111111111,3.10227272727273,0.843729837898139,1.47414965986394
"LC",1.1342564400718,0.291666666666667,4.47368421052632,0.764740900254616,1.5228813559322
"CL",1.12748145748896,0.208333333333333,4.38461538461539,0.746891825229035,1.53052955244277
"SLC",1.12773893620493,0.208333333333333,4.57894736842105,0.749328047921071,1.49886363636364
"SCL",1.12764510516638,0.208333333333333,4.38461538461539,0.74696229739253,1.53038167938931
"LSC",1.1342564400718,0.291666666666667,4.47368421052632,0.764740900254616,1.5228813559322
"LCS",1.1342564400718,0.291666666666667,4.47368421052632,0.764740900254616,1.5228813559322
"CSL",1.12747094319615,0.208333333333333,4.38461538461539,0.748391825229035,1.53254237288136
"CLS",1.12748145748896,0.208333333333333,4.38461538461539,0.746891825229035,1.53052955244277
