"","A","S","L","C","SL","LS","SC","CS","LC","CL","SLC","SCL","LSC","LCS","CSL","CLS"
"perc_tot",28.08,28.44,29.23,28.45,29.2,29.23,28.43,28.45,29.19,29.19,29.17,29.2,29.19,29.19,29.2,29.19
"perc_increse",16.36,16.72,17.51,16.73,17.48,17.51,16.71,16.73,17.47,17.47,17.45,17.48,17.47,17.47,17.48,17.47
