NAME_0,run.001_gap.0.01_flip_priority.FALSE_s.000_sum,run.002_gap.0.01_flip_priority.FALSE_s.100_sum,run.003_gap.0.01_flip_priority.FALSE_s.010_sum,run.005_gap.0.01_flip_priority.FALSE_s.001_sum,run.006_gap.0.01_flip_priority.FALSE_s.101_sum,run.007_gap.0.01_flip_priority.FALSE_s.011_sum,run.009_gap.0.01_flip_priority.TRUE_s.000_sum,run.010_gap.0.01_flip_priority.TRUE_s.100_sum,run.011_gap.0.01_flip_priority.TRUE_s.010_sum,run.012_gap.0.01_flip_priority.TRUE_s.110_sum,run.013_gap.0.01_flip_priority.TRUE_s.001_sum,run.014_gap.0.01_flip_priority.TRUE_s.101_sum,run.015_gap.0.01_flip_priority.TRUE_s.011_sum,run.101_gap.0.05_flip_priority.FALSE_s.000_sum,run.102_gap.0.05_flip_priority.FALSE_s.100_sum,run.103_gap.0.05_flip_priority.FALSE_s.010_sum,run.104_gap.0.05_flip_priority.FALSE_s.110_sum,run.105_gap.0.05_flip_priority.FALSE_s.001_sum,run.106_gap.0.05_flip_priority.FALSE_s.101_sum,run.107_gap.0.05_flip_priority.FALSE_s.011_sum,run.108_gap.0.05_flip_priority.FALSE_s.111_sum,run.109_gap.0.05_flip_priority.TRUE_s.000_sum,run.110_gap.0.05_flip_priority.TRUE_s.100_sum,run.111_gap.0.05_flip_priority.TRUE_s.010_sum,run.112_gap.0.05_flip_priority.TRUE_s.110_sum,run.113_gap.0.05_flip_priority.TRUE_s.001_sum,run.114_gap.0.05_flip_priority.TRUE_s.101_sum,run.115_gap.0.05_flip_priority.TRUE_s.011_sum,run.116_gap.0.05_flip_priority.TRUE_s.111_sum
Palestina,37,2,18,27,2,17,37,2,18,12,27,12,22,37,2,18,18,27,25,18,18,37,2,18,2,27,2,18,18
Panama,205,195,222,207,197,219,205,195,222,213,207,197,208,205,195,222,220,207,204,217,217,205,195,222,207,207,200,215,215
Papua New Guinea,1127,1090,1193,1185,1117,1176,1127,1090,1193,1136,1185,1125,1175,1127,1090,1193,1167,1185,1183,1173,1174,1127,1090,1193,1114,1185,1111,1175,1175
Paraguay,1257,1063,1391,1278,1145,1341,1257,1063,1391,1240,1278,1203,1263,1257,1063,1391,1398,1278,1276,1286,1285,1257,1063,1391,1123,1278,1088,1294,1294
Peru,3937,3994,4122,4078,3926,4140,3937,3994,4122,4016,4078,3900,4085,3937,3994,4122,4099,4078,4067,4145,4147,3937,3994,4122,3970,4078,3941,4144,4144
Philippines,597,597,617,604,597,613,597,597,617,601,604,597,608,597,597,617,616,604,603,611,611,597,597,617,597,604,597,612,612
Poland,1247,1328,1263,1324,1295,1258,1247,1328,1263,1263,1324,1293,1265,1247,1328,1263,1262,1324,1321,1259,1259,1247,1328,1263,1290,1324,1309,1256,1256
Portugal,220,255,272,207,221,262,220,255,272,250,207,202,234,220,255,272,272,207,210,256,255,220,255,272,237,207,234,251,251
Puerto Rico,14,15,16,14,14,16,14,15,16,16,14,14,16,14,15,16,16,14,14,16,16,14,15,16,15,14,14,16,16
Qatar,8,68,11,11,22,14,8,68,11,12,11,14,9,8,68,11,11,11,11,12,12,8,68,11,48,11,29,9,9
Republic of Congo,791,682,831,903,705,875,791,682,831,727,903,798,903,791,682,831,828,903,899,885,885,791,682,831,692,903,692,891,891
Reunion,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4
Romania,683,703,822,866,751,815,683,703,822,768,866,763,807,683,703,822,824,866,873,849,851,683,703,822,716,866,710,845,845
Russia,47840,43714,48747,51031,46081,50152,47840,43714,48747,46876,51031,47486,50805,47840,43714,48747,48666,51031,51015,50449,50448,47840,43714,48747,45597,51031,45030,50523,50523
Rwanda,77,77,77,106,107,78,77,77,77,78,106,105,77,77,77,77,78,106,105,78,78,77,77,77,78,106,102,77,77
Saudi Arabia,5110,4534,5063,5226,5311,5084,5110,4534,5063,4993,5226,5351,5181,5110,4534,5063,5053,5226,5215,5182,5183,5110,4534,5063,4868,5226,5049,5213,5213
Senegal,698,860,1096,861,781,959,698,860,1096,971,861,762,828,698,860,1096,1094,861,861,900,899,698,860,1096,888,861,814,855,855
Serbia,185,70,152,155,74,146,185,70,152,144,155,99,135,185,70,152,153,155,155,143,142,185,70,152,104,155,65,140,140
Sierra Leone,276,325,184,203,266,202,276,325,184,237,203,239,224,276,325,184,186,203,204,204,204,276,325,184,271,203,277,218,218
Singapore,1,3,1,1,3,1,1,3,1,1,1,3,1,1,3,1,1,1,1,1,1,1,3,1,1,1,3,1,1
Slovakia,256,197,237,254,234,243,256,197,237,229,254,235,256,256,197,237,237,254,254,245,245,256,197,237,222,254,236,241,241
Slovenia,121,112,131,124,124,127,121,112,131,130,124,125,128,121,112,131,131,124,124,127,127,121,112,131,125,124,118,128,128
Solomon Islands,18,18,19,18,18,18,18,18,19,18,18,18,18,18,18,19,19,18,18,18,18,18,18,19,18,18,18,18,18
Somalia,1778,1348,1676,1940,1471,1706,1778,1348,1676,1470,1940,1633,1883,1778,1348,1676,1673,1940,1941,1754,1754,1778,1348,1676,1391,1940,1389,1799,1799
South Africa,3855,3776,4003,4049,3904,4067,3855,3776,4003,3903,4049,3981,4007,3855,3776,4003,3998,4049,4044,4032,4031,3855,3776,4003,3858,4049,3835,4010,4010
South Georgia and the South Sandwich Islands,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South Korea,245,537,356,267,506,283,245,537,356,314,267,418,254,245,537,356,357,267,257,266,266,245,537,356,453,267,531,265,265
South Sudan,1736,1343,2084,1783,1474,1943,1736,1343,2084,1645,1783,1584,1765,1736,1343,2084,2086,1783,1784,1895,1895,1736,1343,2084,1461,1783,1409,1839,1839
Spain,1495,1455,1642,1617,1514,1663,1495,1455,1642,1586,1617,1566,1595,1495,1455,1642,1653,1617,1618,1667,1670,1495,1455,1642,1501,1617,1487,1654,1654
Sri Lanka,192,194,245,216,192,237,192,194,245,203,216,192,201,192,194,245,243,216,216,222,222,192,194,245,192,216,192,219,219
Sudan,4516,3890,3626,3966,3830,3712,4516,3890,3626,3662,3966,3840,3982,4516,3890,3626,3644,3966,3966,3896,3899,4516,3890,3626,3702,3966,3742,3919,3919
Suriname,317,398,345,306,347,304,317,398,345,397,306,324,302,317,398,345,342,306,305,298,298,317,398,345,398,306,376,298,298
Svalbard and Jan Mayen,182,189,183,182,186,182,182,189,183,188,182,183,182,182,189,183,182,182,182,183,182,182,189,183,188,182,189,182,182
Swaziland,22,12,39,58,15,39,22,12,39,25,58,25,41,22,12,39,38,58,58,36,36,22,12,39,17,58,12,38,38
Sweden,698,2110,1419,1400,1690,1607,698,2110,1419,1770,1400,1648,1405,698,2110,1419,1419,1400,1398,1593,1595,698,2110,1419,1927,1400,1762,1576,1576
Switzerland,39,207,89,93,160,85,39,207,89,74,93,117,72,39,207,89,90,93,92,76,75,39,207,89,99,93,180,71,71
Syria,589,403,656,652,397,528,589,403,656,456,652,435,591,589,403,656,663,652,651,525,525,589,403,656,394,652,369,549,549
Taiwan,99,113,111,103,99,115,99,113,111,110,103,99,109,99,113,111,110,103,101,113,113,99,113,111,102,103,101,113,113
Tajikistan,597,562,634,542,553,626,597,562,634,538,542,546,568,597,562,634,638,542,546,554,555,597,562,634,558,542,549,549,549
Tanzania,3832,3869,4013,3978,3874,4081,3832,3869,4013,3927,3978,3868,4033,3832,3869,4013,4013,3978,3980,4065,4065,3832,3869,4013,3891,3978,3877,4063,4063
Thailand,1586,1872,1551,1647,1771,1542,1586,1872,1551,1604,1647,1706,1539,1586,1872,1551,1551,1647,1650,1533,1534,1586,1872,1551,1702,1647,1821,1531,1531
Timor-Leste,24,21,25,29,25,24,24,21,25,24,29,25,24,24,21,25,24,29,29,25,25,24,21,25,23,29,23,24,24
Togo,112,60,121,230,87,134,112,60,121,113,230,160,215,112,60,121,119,230,232,156,156,112,60,121,79,230,60,157,157
Trinidad and Tobago,4,4,5,6,4,4,4,4,5,4,6,4,4,4,4,5,5,6,4,4,4,4,4,5,4,6,4,4,4
Tunisia,598,1002,386,637,916,405,598,1002,386,461,637,753,617,598,1002,386,386,637,640,563,564,598,1002,386,843,637,1010,603,603
Turkey,2021,2201,2241,2160,2203,2245,2021,2201,2241,2250,2160,2197,2183,2021,2201,2241,2235,2160,2152,2238,2237,2021,2201,2241,2244,2160,2197,2240,2240
Turkmenistan,1409,1004,1175,1714,1278,1348,1409,1004,1175,1298,1714,1467,1699,1409,1004,1175,1178,1714,1713,1519,1518,1409,1004,1175,1242,1714,1166,1544,1544
Uganda,744,842,624,640,759,642,744,842,624,669,640,687,610,744,842,624,623,640,640,635,634,744,842,624,748,640,789,636,636
Ukraine,1643,1273,1165,1709,1436,1176,1643,1273,1165,1151,1709,1517,1485,1643,1273,1165,1164,1709,1713,1264,1263,1643,1273,1165,1103,1709,1403,1306,1306
United Arab Emirates,163,609,208,237,356,195,163,609,208,419,237,283,195,163,609,208,209,237,237,169,169,163,609,208,465,237,476,151,151
United Kingdom,637,569,743,793,722,739,637,569,743,701,793,786,746,637,569,743,744,793,790,739,740,637,569,743,621,793,648,746,746
United States,28898,27520,30798,30582,28799,31105,28898,27520,30798,30149,30582,29327,30732,28898,27520,30798,30775,30582,30559,31018,31028,28898,27520,30798,29576,30582,28419,30987,30987
Uruguay,544,807,508,521,696,510,544,807,508,594,521,623,522,544,807,508,508,521,520,508,507,544,807,508,689,521,749,523,523
Uzbekistan,1097,728,1831,1180,862,1552,1097,728,1831,1442,1180,956,1115,1097,728,1831,1830,1180,1174,1384,1383,1097,728,1831,895,1180,784,1325,1325
Vanuatu,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Venezuela,4348,4332,4462,4530,4338,4462,4348,4332,4462,4382,4530,4361,4453,4348,4332,4462,4460,4530,4528,4446,4446,4348,4332,4462,4335,4530,4331,4441,4441
Vietnam,880,963,894,979,957,898,880,963,894,872,979,940,941,880,963,894,888,979,979,897,897,880,963,894,901,979,964,898,898
Western Sahara,522,1329,885,726,1021,1001,522,1329,885,1273,726,957,850,522,1329,885,914,726,723,997,996,522,1329,885,1194,726,1147,971,971
Yemen,1214,496,1333,1552,572,1404,1214,496,1333,911,1552,837,1437,1214,496,1333,1323,1552,1556,1429,1430,1214,496,1333,564,1552,510,1434,1434
Zambia,2901,2965,2964,2838,2967,2923,2901,2965,2964,3024,2838,2949,2885,2901,2965,2964,2960,2838,2837,2909,2908,2901,2965,2964,3014,2838,2970,2907,2907
Zimbabwe,1396,1306,1537,1376,1317,1577,1396,1306,1537,1421,1376,1338,1408,1396,1306,1537,1531,1376,1377,1524,1523,1396,1306,1537,1339,1376,1314,1506,1506
