NAME_0,run.001_gap.0.01_flip_priority.FALSE_s.000_sum,run.002_gap.0.01_flip_priority.FALSE_s.100_sum,run.003_gap.0.01_flip_priority.FALSE_s.010_sum,run.005_gap.0.01_flip_priority.FALSE_s.001_sum,run.006_gap.0.01_flip_priority.FALSE_s.101_sum,run.007_gap.0.01_flip_priority.FALSE_s.011_sum,run.009_gap.0.01_flip_priority.TRUE_s.000_sum,run.010_gap.0.01_flip_priority.TRUE_s.100_sum,run.011_gap.0.01_flip_priority.TRUE_s.010_sum,run.012_gap.0.01_flip_priority.TRUE_s.110_sum,run.013_gap.0.01_flip_priority.TRUE_s.001_sum,run.014_gap.0.01_flip_priority.TRUE_s.101_sum,run.015_gap.0.01_flip_priority.TRUE_s.011_sum,run.101_gap.0.05_flip_priority.FALSE_s.000_sum,run.102_gap.0.05_flip_priority.FALSE_s.100_sum,run.103_gap.0.05_flip_priority.FALSE_s.010_sum,run.104_gap.0.05_flip_priority.FALSE_s.110_sum,run.105_gap.0.05_flip_priority.FALSE_s.001_sum,run.106_gap.0.05_flip_priority.FALSE_s.101_sum,run.107_gap.0.05_flip_priority.FALSE_s.011_sum,run.108_gap.0.05_flip_priority.FALSE_s.111_sum,run.109_gap.0.05_flip_priority.TRUE_s.000_sum,run.110_gap.0.05_flip_priority.TRUE_s.100_sum,run.111_gap.0.05_flip_priority.TRUE_s.010_sum,run.112_gap.0.05_flip_priority.TRUE_s.110_sum,run.113_gap.0.05_flip_priority.TRUE_s.001_sum,run.114_gap.0.05_flip_priority.TRUE_s.101_sum,run.115_gap.0.05_flip_priority.TRUE_s.011_sum,run.116_gap.0.05_flip_priority.TRUE_s.111_sum
Chile,2232,2585,2341,2411,2538,2388,2232,2585,2341,2531,2411,2517,2417,2232,2585,2341,2327,2411,2413,2404,2400,2232,2585,2341,2543,2411,2556,2411,2411
China,26439,26133,27694,28326,26514,27819,26439,26133,27694,26810,28326,26850,27630,26439,26133,27694,27676,28326,28316,27701,27700,26439,26133,27694,26522,28326,26374,27629,27629
Colombia,3117,3183,3424,3477,3194,3471,3117,3183,3424,3250,3477,3248,3467,3117,3183,3424,3415,3477,3474,3453,3452,3117,3183,3424,3196,3477,3167,3457,3457
Costa Rica,148,184,164,175,179,163,148,184,164,165,175,178,166,148,184,164,164,175,173,160,160,148,184,164,167,175,178,161,161
Côte d'Ivoire,1005,846,1074,965,892,1033,1005,846,1074,1026,965,915,940,1005,846,1074,1073,965,966,998,998,1005,846,1074,918,965,888,970,970
Croatia,174,194,211,228,190,213,174,194,211,209,228,214,235,174,194,211,211,228,227,210,210,174,194,211,203,228,194,210,210
Cuba,241,241,241,244,241,242,241,241,241,241,244,241,241,241,241,241,241,244,244,241,241,241,241,241,241,244,241,241,241
Cyprus,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Czech Republic,167,169,182,227,170,177,167,169,182,178,227,198,185,167,169,182,182,227,225,178,180,167,169,182,174,227,168,179,179
Democratic Republic of the Congo,6760,6520,6785,7261,6685,7213,6760,6520,6785,6651,7261,6791,7126,6760,6520,6785,6779,7261,7258,7184,7182,6760,6520,6785,6616,7261,6605,7155,7155
Denmark,44,130,63,52,57,61,44,130,63,67,52,47,51,44,130,63,63,52,53,56,56,44,130,63,81,52,76,57,57
Djibouti,128,202,62,63,172,49,128,202,62,63,63,145,49,128,202,62,62,63,61,46,46,128,202,62,130,63,194,43,43
Dominican Republic,142,150,147,153,150,145,142,150,147,149,153,150,147,142,150,147,147,153,151,145,145,142,150,147,150,153,150,145,145
Ecuador,902,869,923,1049,887,1009,902,869,923,878,1049,955,1038,902,869,923,912,1049,1036,1024,1024,902,869,923,872,1049,871,1025,1025
Egypt,2906,5073,4037,3408,4279,3907,2906,5073,4037,5126,3408,3697,3467,2906,5073,4037,4044,3408,3407,3717,3715,2906,5073,4037,5093,3408,4557,3614,3614
El Salvador,61,84,46,46,78,48,61,84,46,57,46,73,47,61,84,46,49,46,47,47,47,61,84,46,62,46,81,49,49
Equatorial Guinea,51,51,51,82,51,63,51,51,51,51,82,51,77,51,51,51,51,82,82,70,72,51,51,51,51,82,51,77,77
Eritrea,361,266,369,611,393,435,361,266,369,388,611,443,592,361,266,369,370,611,614,442,441,361,266,369,331,611,360,476,476
Estonia,94,330,70,94,139,76,94,330,70,121,94,105,85,94,330,70,70,94,94,80,80,94,330,70,186,94,208,79,79
Ethiopia,3484,3964,4253,4115,4002,4403,3484,3964,4253,4051,4115,3962,4157,3484,3964,4253,4257,4115,4113,4382,4377,3484,3964,4253,4056,4115,4012,4315,4315
Falkland Islands,18,22,18,18,22,18,18,22,18,22,18,18,18,18,22,18,18,18,18,18,18,18,22,18,22,18,22,18,18
Fiji,19,19,19,20,19,19,19,19,19,19,20,19,19,19,19,19,19,20,20,19,19,19,19,19,19,20,19,19,19
Finland,1078,3207,1052,1029,2302,1017,1078,3207,1052,1976,1029,1694,1020,1078,3207,1052,1051,1029,1028,967,966,1078,3207,1052,2554,1029,2775,987,987
France,1664,1708,1699,1712,1680,1696,1664,1708,1699,1694,1712,1658,1719,1664,1708,1699,1697,1712,1708,1690,1689,1664,1708,1699,1728,1712,1689,1697,1697
French Guiana,446,470,442,436,461,438,446,470,442,462,436,439,437,446,470,442,442,436,436,437,437,446,470,442,467,436,466,439,439
Gabon,871,1064,860,1015,1041,940,871,1064,860,1027,1015,1022,970,871,1064,860,851,1015,1017,942,942,871,1064,860,1039,1015,1044,941,941
Gambia,23,10,22,40,14,22,23,10,22,21,40,28,27,23,10,22,22,40,39,22,22,23,10,22,18,40,11,22,22
Georgia,282,290,257,266,267,257,282,290,257,260,266,247,269,282,290,257,259,266,265,260,259,282,290,257,271,266,268,256,256
Germany,1302,1482,1353,1331,1399,1320,1302,1482,1353,1339,1331,1377,1305,1302,1482,1353,1353,1331,1334,1307,1306,1302,1482,1353,1349,1331,1422,1301,1301
Ghana,753,1236,791,726,986,777,753,1236,791,800,726,843,711,753,1236,791,792,726,726,768,768,753,1236,791,949,726,1054,767,767
