"","SLC_000","SLC_100","SLC_010","SLC_110","SLC_001","SLC_101","SLC_011","SLC_111"
"perc_tot",26.87,27.23,28.2,28.17,28.63,28.61,28.34,28.35
"perc_increse",16.02,16.38,17.35,17.32,17.78,17.76,17.49,17.5
