GID_0,NAME_0,Country.Name,MeanIndex,SDIndex,RS,Comment,NAME_IDX
GTM,Guatemala,Guatemala,-0.599689972,0.036816883,0,,92
GUF,French Guiana,French Guiana,0.858729019,0.214669782,0,,93
GUM,Guam,Guam,0.695618968,0.054173158,0,,94
GUY,Guyana,Guyana,-0.307021462,0.116861086,0,,95
HKG,Hong Kong,"Hong Kong SAR, China",1.371560536,0.172266376,0,,96
HMD,Heard Island and McDonald Islands,Heard Island and McDonald Islands,1.591281785,0.033468954,1,,97
HND,Honduras,Honduras,-0.593669453,0.063795003,0,,98
HRV,Croatia,Croatia,0.333830873,0.199900668,0,,99
HTI,Haiti,Haiti,-1.185012243,0.157951999,0,,100
HUN,Hungary,Hungary,0.771348696,0.200267091,0,,101
IDN,Indonesia,Indonesia,-0.522275591,0.256654371,0,,102
IMN,Isle of Man,Isle of Man,1.465323746,0.100665387,1,,103
IND,India,India,-0.236427265,0.070357591,0,,104
IOT,British Indian Ocean Territory,British Indian Ocean Territory,1.465323746,0.100665387,1,,105
IRL,Ireland,Ireland,1.491413223,0.074441722,0,,106
IRN,Iran,"Iran, Islamic Rep.",-0.953186989,0.155424284,0,,107
IRQ,Iraq,Iraq,-1.575131405,0.188609517,0,,108
ISL,Iceland,Iceland,1.613079284,0.144172336,0,,109
ISR,Israel,Israel,0.629778474,0.079705711,0,,110
ITA,Italy,Italy,0.62644069,0.142840073,0,,111
JAM,Jamaica,Jamaica,0.064806483,0.096769828,0,,112
JEY,Jersey,"Jersey, Channel Islands",1.322225219,0.073023471,0,,113
JOR,Jordan,Jordan,-0.039533023,0.075160713,0,,114
JPN,Japan,Japan,1.223026779,0.111790203,0,,115
KAZ,Kazakhstan,Kazakhstan,-0.57894497599999994,0.137965823,0,,116
KEN,Kenya,Kenya,-0.675613867,0.077644945,0,,117
KGZ,Kyrgyzstan,Kyrgyz Republic,-0.787083231,0.157602042,0,,118
KHM,Cambodia,Cambodia,-0.810152291,0.067200968,0,,119
KIR,Kiribati,Kiribati,0.149330351,0.226482975,0,,120
KNA,Saint Kitts and Nevis,St. Kitts and Nevis,0.679619574,0.231933498,0,,121
KOR,South Korea,"Korea, Rep.",0.72959675,0.098504679,0,,122
KWT,Kuwait,Kuwait,0.097249516,0.192297245,0,,123
LAO,Laos,Lao PDR,-0.921299052,0.187575801,0,,124
LBN,Lebanon,Lebanon,-0.612732624,0.179337643,0,,125
LBR,Liberia,Liberia,-1.080649501,0.400046725,0,,126
LBY,Libya,Libya,-1.283351088,0.366820271,0,,127
LCA,Saint Lucia,St. Lucia,0.716361341,0.200566321,0,,128
LIE,Liechtenstein,Liechtenstein,1.527465902,0.101912589,0,,129
LKA,Sri Lanka,Sri Lanka,-0.288823237,0.129287158,0,,130
LSO,Lesotho,Lesotho,-0.168746554,0.083603521,0,,131
LTU,Lithuania,Lithuania,0.762845407,0.125827922,0,,132
LUX,Luxembourg,Luxembourg,1.713782992,0.048738688,0,,133
