Country.Name,Country.Code,MeanIndex,SDIndex,RS,Comment
Martinique,MTQ,0.848594554,0.113121221,0,
Mauritania,MRT,-0.630058372,0.262519018,0,
Mauritius,MUS,0.752536123,0.081543172,0,
Mexico,MEX,-0.151751197,0.121675929,0,
"Micronesia, Fed. Sts.",FSM,0.195332485,0.244692481,0,
Moldova,MDA,-0.379148958,0.128376693,0,
Monaco,MCO,0.985797274,0.075374893,0,
Mongolia,MNG,-0.048965539,0.140927391,0,
Montenegro,MNE,0.016290961,0.133950837,0,
Morocco,MAR,-0.269411407,0.111724212,0,
Mozambique,MOZ,-0.431406893,0.18237932,0,
Myanmar,MMR,-1.459643001,0.302924846,0,
Namibia,NAM,0.320396717,0.081852661,0,
Nauru,NRU,0.381502773,0.520554366,0,
Nepal,NPL,-0.759828915,0.191420767,0,
Netherlands,NLD,1.701882323,0.074456743,0,
Netherlands Antilles,ANT,0.815659318,0.073645964,0,
New Zealand,NZL,1.785103708,0.056710258,0,
Nicaragua,NIC,-0.543267869,0.115275257,0,
Niger,NER,-0.644590502,0.097774316,0,
Nigeria,NGA,-1.119623335,0.074989403,0,
Niue,NIU,-0.585517726,0.174745849,0,
North Macedonia,MKD,-0.210647638,0.19492047,0,
Norway,NOR,1.731312725,0.052122365,0,
Oman,OMN,0.253003231,0.106751385,0,
Pakistan,PAK,-0.997449286,0.117829418,0,
Palau,PLW,0.567599293,0.426970427,0,
Panama,PAN,0.128639631,0.070020029,0,
Papua New Guinea,PNG,-0.611750633,0.110845239,0,
Paraguay,PRY,-0.677137732,0.182300236,0,
Peru,PER,-0.262079283,0.096832533,0,
Philippines,PHL,-0.369574412,0.157678554,0,
Poland,POL,0.720354007,0.123416018,0,
Portugal,PRT,1.094843909,0.127511975,0,
Puerto Rico,PRI,0.705576599,0.184884183,0,
Qatar,QAT,0.443714669,0.163699207,0,
Reunion,REU,0.916198306,0.053333708,0,
Romania,ROU,0.088868333,0.109038009,0,
Russian Federation,RUS,-0.719481941,0.057298636,0,
Rwanda,RWA,-0.520916444,0.447639282,0,
Samoa,WSM,0.489484723,0.120534987,0,
San Marino,SMR,1.066786425,0.043286079,0,
Sao Tome and Principe,STP,-0.232016206,0.153436446,0,
Saudi Arabia,SAU,-0.338640161,0.068975102,0,
Senegal,SEN,-0.173153167,0.123427711,0,
Serbia,SRB,-0.345103018,0.383786942,0,
Seychelles,SYC,0.230900263,0.116496253,0,
Sierra Leone,SLE,-0.834225038,0.229589686,0,
Singapore,SGP,1.513287438,0.066750611,0,
Slovak Republic,SVK,0.709484137,0.090351205,0,
Slovenia,SVN,0.969547337,0.073834406,0,
Solomon Islands,SLB,-0.394110051,0.348947365,0,
Somalia,SOM,-2.15989745,0.16087472,0,
South Africa,ZAF,0.30473051,0.103683578,0,
South Sudan,SSD,-1.687499952,0.421300253,0,
Spain,ESP,0.962409196,0.166962047,0,
Sri Lanka,LKA,-0.288823237,0.129287158,0,
St. Kitts and Nevis,KNA,0.679619574,0.231933498,0,
St. Lucia,LCA,0.716361341,0.200566321,0,
St. Vincent and the Grenadines,VCT,0.70595183,0.176801834,0,
Sudan,SDN,-1.554712889,0.075595936,0,
Suriname,SUR,-0.066205411,0.075372512,0,
Sweden,SWE,1.749623959,0.047643189,0,
Switzerland,CHE,1.748847192,0.048878812,0,
Syrian Arab Republic,SYR,-1.244601933,0.462276051,0,
"Taiwan, China",TWN,0.928071236,0.118419157,0,
Tajikistan,TJK,-1.1996825,0.134855164,0,
Tanzania,TZA,-0.441310488,0.069078982,0,
Thailand,THA,-0.137351267,0.238765866,0,
Timor-Leste,TLS,-0.724435903,0.391899018,0,
Togo,TGO,-0.85882277,0.118643656,0,
Tonga,TON,-0.076516096,0.231274292,0,
Trinidad and Tobago,TTO,0.221725027,0.133421902,0,
Tunisia,TUN,-0.157096211,0.084752325,0,
