"","A","S","L","C","SL","LS","SC","CS","LC","CL","SLC","SCL","LSC","LCS","CSL","CLS"
"perc_tot",21.27,21.35,22.31,23.97,21.93,22.18,23.97,23.45,23.59,23.06,23.61,23.06,23.59,23.14,22.32,23.06
"perc_increse",9.63,9.71,10.67,12.33,10.29,10.54,12.33,11.81,11.95,11.42,11.97,11.42,11.95,11.5,10.68,11.42
