"","SLCA_0001_F","SLCA_1001_F","SLCA_0101_F","SLCA_1101_F","SLCA_0011_F","SLCA_1011_F","SLCA_0111_F","SLCA_1111_F","SLCA_0001_T","SLCA_1001_T","SLCA_0101_T","SLCA_1101_T","SLCA_0011_T","SLCA_1011_T","SLCA_0111_T","SLCA_1111_T"
"perc_tot",28.08,28.43,29.23,29.19,28.45,28.43,28.7,29.17,28.08,28.09,29.19,28.5,28.09,28.09,29.19,28.5
"perc_increse",16.36,16.71,17.51,17.47,16.73,16.71,16.98,17.45,16.36,16.37,17.47,16.78,16.37,16.37,17.47,16.78
