"","A","S","L","C","SL","LS","SC","CS","LC","CL","SLC","SCL","LSC","LCS","CSL","CLS"
"perc_tot",21.27,21.35,22.32,22.8,21.91,22.32,21.36,22.82,22.32,22.32,21.91,21.36,22.32,22.32,22.31,22.32
"perc_increse",9.63,9.71,10.68,11.16,10.27,10.68,9.72,11.18,10.68,10.68,10.27,9.72,10.68,10.68,10.67,10.68
