"","SLCA_0001_F","SLCA_1001_F","SLCA_0101_F","SLCA_1101_F","SLCA_0011_F","SLCA_1011_F","SLCA_0111_F","SLCA_1111_F","SLCA_0001_T","SLCA_1001_T","SLCA_0101_T","SLCA_1101_T","SLCA_0011_T","SLCA_1011_T","SLCA_0111_T","SLCA_1111_T"
"perc_tot",26.87,27.23,28.2,28.17,26.98,26.99,28.34,28.35,26.87,26.87,28.17,27.41,28.62,27.31,28.31,28.31
"perc_increse",16.02,16.38,17.35,17.32,16.13,16.14,17.49,17.5,16.02,16.02,17.32,16.56,17.77,16.46,17.46,17.46
